n,time-seconds
1,0.0002985420
2,0.0000721670
3,0.0000316670
4,0.0000196670
5,0.0000308750
6,0.0000212080
7,0.0000276670
8,0.0000288340
9,0.0000192500
10,0.0000301250
11,0.0000415840
12,0.0000234580
13,0.0000400420
14,0.0000306670
15,0.0000328340
16,0.0000279170
17,0.0000397090
18,0.0000273330
19,0.0000371250
20,0.0000328750
21,0.0000351670
22,0.0000386250
23,0.0000440830
24,0.0000429580
25,0.0000452500
26,0.0000471250
27,0.0000609170
28,0.0000525840
29,0.0000647090
30,0.0000572500
31,0.0000552500
32,0.0000671250
33,0.0000645000
34,0.0000774170
35,0.0000588750
36,0.0000704160
37,0.0000712500
38,0.0000732910
39,0.0000728750
40,0.0000856250
41,0.0000750000
42,0.0000833750
43,0.0000882080
44,0.0000982080
45,0.0000928330
46,0.0000897080
47,0.0001132090
48,0.0001586670
49,0.0001556670
50,0.0001605000
51,0.0001375420
52,0.0001320410
53,0.0001365000
54,0.0001389580
55,0.0001441250
56,0.0001478340
57,0.0001471250
58,0.0001561670
59,0.0001584580
60,0.0001653340
61,0.0001692500
62,0.0001751250
63,0.0001849590
64,0.0001880840
65,0.0002276670
66,0.0002136660
67,0.0002084580
68,0.0002067500
69,0.0002198750
70,0.0002010000
71,0.0000880000
72,0.0001351250
73,0.0001361250
74,0.0001313750
75,0.0003084590
76,0.0003585410
77,0.0004316250
78,0.0003527920
79,0.0003452080
80,0.0003573340
81,0.0003360830
82,0.0003376670
83,0.0003492500
84,0.0003555830
85,0.0003545830
86,0.0010574590
87,0.0003863750
88,0.0003946250
89,0.0003978750
90,0.0004106250
91,0.0004127090
92,0.0003895420
93,0.0003638340
94,0.0003803340
95,0.0003810000
96,0.0003877080
97,0.0003883750
98,0.0003965840
99,0.0003997500
100,0.0004100840
101,0.0004160420
102,0.0004230830
103,0.0004304170
104,0.0004387500
105,0.0004459580
106,0.0004497090
107,0.0004120420
108,0.0004168330
109,0.0004198750
110,0.0004304170
111,0.0004385420
112,0.0004429590
113,0.0004531670
114,0.0004614160
115,0.0004594170
116,0.0004672090
117,0.0004792500
118,0.0006657920
119,0.0004690000
120,0.0004444590
121,0.0004523330
122,0.0004680420
123,0.0004799580
124,0.0004899170
125,0.0004856250
126,0.0004964160
127,0.0005020830
128,0.0005259170
129,0.0005108750
130,0.0005191670
131,0.0005057500
132,0.0004939160
133,0.0005022090
134,0.0005103340
135,0.0005238750
136,0.0005231670
137,0.0005376670
138,0.0005389170
139,0.0005466250
140,0.0005547080
141,0.0005613330
142,0.0005515000
143,0.0005402500
144,0.0005464170
145,0.0005507500
146,0.0005610830
147,0.0005688330
148,0.0007445420
149,0.0005843750
150,0.0005820000
151,0.0005875410
152,0.0005817080
153,0.0005865830
154,0.0006123750
155,0.0005934580
156,0.0005965000
157,0.0005950830
158,0.0006030830
159,0.0006127080
160,0.0006201250
161,0.0006235840
162,0.0006106250
163,0.0006087080
164,0.0006211250
165,0.0006371250
166,0.0008079160
167,0.0006487910
168,0.0006492920
169,0.0006565420
170,0.0006644580
171,0.0006487080
172,0.0006846670
173,0.0006665420
174,0.0006694170
175,0.0006735000
176,0.0006832910
177,0.0006631250
178,0.0006836250
179,0.0007007910
180,0.0006931670
181,0.0007054170
182,0.0007021250
183,0.0007144580
184,0.0009219590
185,0.0007322500
186,0.0007306670
187,0.0007283750
188,0.0007222910
189,0.0007216250
190,0.0007291250
191,0.0007369590
192,0.0007640840
193,0.0007646250
194,0.0007747090
195,0.0007624590
196,0.0007786660
197,0.0007784580
198,0.0007637910
199,0.0007838750
200,0.0010492080
201,0.0008492920
202,0.0008203750
203,0.0008280830
204,0.0008262080
205,0.0008286250
206,0.0008382500
207,0.0008356660
208,0.0008494170
209,0.0008768330
210,0.0008606250
211,0.0008743750
212,0.0009082920
213,0.0008964170
214,0.0008783330
215,0.0008880410
216,0.0009605840
217,0.0011527500
218,0.0010265000
219,0.0009586670
220,0.0009115830
221,0.0009239580
222,0.0009280410
223,0.0009534580
224,0.0009535410
225,0.0009620830
226,0.0009682500
227,0.0009772080
228,0.0009966250
229,0.0010378750
230,0.0010145410
231,0.0010170420
232,0.0010298750
233,0.0012314160
234,0.0010634160
235,0.0012008750
236,0.0011420000
237,0.0010798340
238,0.0010781670
239,0.0011053340
240,0.0011368340
241,0.0011510000
242,0.0011393750
243,0.0014135420
244,0.0011965840
245,0.0011772500
246,0.0012214590
247,0.0011867910
248,0.0011996250
249,0.0013236670
250,0.0013194170
251,0.0012471250
252,0.0012441670
253,0.0014283330
254,0.0012923750
255,0.0013251250
256,0.0012965000
257,0.0013160000
258,0.0013202500
259,0.0014029580
260,0.0014068340
261,0.0014252090
262,0.0014649590
263,0.0014244170
264,0.0015765420
265,0.0013609160
266,0.0013720830
267,0.0014665840
268,0.0013974580
269,0.0014335000
270,0.0014169590
271,0.0015042920
272,0.0014673750
273,0.0016691250
274,0.0017020420
275,0.0015821250
276,0.0016422080
