n,time-seconds
1,0.0045482500
2,0.0001624580
3,0.0001278330
4,0.0001212500
5,0.0001246250
6,0.0001100830
7,0.0001462920
8,0.0001437080
9,0.0001377910
10,0.0001436670
11,0.0001244170
12,0.0001150410
13,0.0001151670
14,0.0001195420
15,0.0001242090
16,0.0001225420
17,0.0001215410
18,0.0001295000
19,0.0001725000
20,0.0001178330
21,0.0001211250
22,0.0001490830
23,0.0001370000
24,0.0001260000
25,0.0001131660
26,0.0001123330
27,0.0001133750
28,0.0001059580
29,0.0001085830
30,0.0001293330
31,0.0001128330
32,0.0001295830
33,0.0001148330
34,0.0001130000
35,0.0001230000
36,0.0001162920
37,0.0001185000
38,0.0001090830
39,0.0001150840
40,0.0001871670
41,0.0001325410
42,0.0001096660
43,0.0001095830
44,0.0001069580
45,0.0001263330
46,0.0001284170
47,0.0001127920
48,0.0001146250
49,0.0001159580
50,0.0007006250
51,0.0001252080
52,0.0001267920
53,0.0001162080
54,0.0001109590
55,0.0001104160
56,0.0001111660
57,0.0001059160
58,0.0001095000
59,0.0001259160
60,0.0001142910
61,0.0001331660
62,0.0001190000
63,0.0001032920
64,0.0001055420
65,0.0001089580
66,0.0001112920
67,0.0001090410
68,0.0001310830
69,0.0001157500
70,0.0001397500
71,0.0001073750
72,0.0001031250
73,0.0001130410
74,0.0001050420
75,0.0001165420
76,0.0001033330
77,0.0000981250
78,0.0001096250
79,0.0001129580
80,0.0001199170
81,0.0001035840
82,0.0001081250
83,0.0001189590
84,0.0001119590
85,0.0001047910
86,0.0001126660
87,0.0001130420
88,0.0001052500
89,0.0001194580
90,0.0001029590
91,0.0001125830
92,0.0001222500
93,0.0001108330
94,0.0001069170
95,0.0001196250
96,0.0001106250
97,0.0001143750
98,0.0001111670
99,0.0001089580
100,0.0001328330
101,0.0001111660
102,0.0001202920
103,0.0001161250
104,0.0001145420
105,0.0001103750
106,0.0001115420
107,0.0001150410
108,0.0001347500
109,0.0001157920
110,0.0001146250
111,0.0001167500
112,0.0001240830
113,0.0001472910
114,0.0001786250
115,0.0001570000
116,0.0001282910
117,0.0001198750
118,0.0001347910
119,0.0001581250
120,0.0001227920
121,0.0001443750
122,0.0001295000
123,0.0001153340
124,0.0001147080
125,0.0001217090
126,0.0001207500
127,0.0001198330
128,0.0001503340
129,0.0001186670
130,0.0001220000
131,0.0001339580
132,0.0001209170
133,0.0001158330
134,0.0001200830
135,0.0001123330
136,0.0001258330
137,0.0001180830
138,0.0001237500
139,0.0001145830
140,0.0001297500
141,0.0001194170
142,0.0001150830
143,0.0001578330
144,0.0001145000
145,0.0001211660
146,0.0001355000
147,0.0001236250
148,0.0001421250
149,0.0001229580
150,0.0001208340
151,0.0001099160
152,0.0006616250
153,0.0001664580
154,0.0001256660
155,0.0001287080
156,0.0001416670
157,0.0001185000
158,0.0001154590
159,0.0001315830
160,0.0001395000
161,0.0001262080
162,0.0001368750
163,0.0001228750
164,0.0001365420
165,0.0001217500
166,0.0001395000
167,0.0001372920
168,0.0001438330
169,0.0001297920
170,0.0001315830
171,0.0001376250
172,0.0001327080
173,0.0001324170
174,0.0001352090
175,0.0001335000
176,0.0001287080
177,0.0001402910
178,0.0001355420
179,0.0001304580
180,0.0001263750
181,0.0001315420
182,0.0001299590
183,0.0001428330
184,0.0001328330
185,0.0001420000
186,0.0001281660
187,0.0001439580
188,0.0001392080
189,0.0001448340
190,0.0001639160
191,0.0001537090
192,0.0001535830
193,0.0001459580
194,0.0001430420
195,0.0001580000
196,0.0001370000
197,0.0001288340
198,0.0001495840
199,0.0001614170
200,0.0002385000
201,0.0001533750
202,0.0001555830
203,0.0001543340
204,0.0001473330
205,0.0001392080
206,0.0001552920
207,0.0001367080
208,0.0001314580
209,0.0001397910
210,0.0001327090
211,0.0001509160
212,0.0001302920
213,0.0001330840
214,0.0005155000
215,0.0001515420
216,0.0001567920
217,0.0001482080
218,0.0001481670
219,0.0001414170
220,0.0001501670
221,0.0001532910
222,0.0001520840
223,0.0001447500
224,0.0001495830
225,0.0001503750
226,0.0001586670
227,0.0001396660
228,0.0001446250
229,0.0001479170
230,0.0001607920
231,0.0001480410
232,0.0001498340
233,0.0001420840
234,0.0001422920
