n,time-seconds
1,0.0283971250
2,0.0109656250
3,0.0101065000
4,0.0104754170
5,0.0106351660
6,0.0100935830
7,0.0105771670
8,0.0104013750
9,0.0101750830
10,0.0102953750
11,0.0098662500
12,0.0101817080
13,0.0100887500
14,0.0100070000
15,0.0102194170
16,0.0099798750
17,0.0102807500
18,0.0102302090
19,0.0099057500
20,0.0101037090
21,0.0099797920
22,0.0102217080
23,0.0101865420
24,0.0100618330
25,0.0102319170
26,0.0102196660
27,0.0097385000
28,0.0100525830
29,0.0099775830
30,0.0102005830
31,0.0100277500
32,0.0099317920
33,0.0100517920
34,0.0099897080
35,0.0102487500
36,0.0101822500
37,0.0098223330
38,0.0100928330
39,0.0098564170
40,0.0101317500
41,0.0101057090
42,0.0099402500
43,0.0100959580
44,0.0098150410
45,0.0104120420
46,0.0101207500
47,0.0099239170
48,0.0102341250
49,0.0100307080
50,0.0100467910
51,0.0101471660
52,0.0099952500
53,0.0101081670
54,0.0100543330
55,0.0096718340
56,0.0101652920
57,0.0099587500
58,0.0100927090
59,0.0134671250
60,0.0109666660
61,0.0112752500
62,0.0112782920
63,0.0107322910
64,0.0113308750
65,0.0118112080
66,0.0102712910
67,0.0102267920
68,0.0106731670
69,0.0098949170
70,0.0105315000
71,0.0102413340
72,0.0101374580
73,0.0102475830
74,0.0100062080
75,0.0102020000
76,0.0101452500
77,0.0098524160
78,0.0104114590
79,0.0097067920
80,0.0102381250
81,0.0104287090
82,0.0100174170
83,0.0102451660
84,0.0099606250
85,0.0099963330
86,0.0102664170
87,0.0099887920
88,0.0101044580
89,0.0097732080
90,0.0100046670
91,0.0103146670
92,0.0098464580
93,0.0101614580
94,0.0098737920
95,0.0100836670
96,0.0101435420
97,0.0098099580
98,0.0101360420
99,0.0098334160
100,0.0099688750
101,0.0102277920
102,0.0101157080
103,0.0102142500
104,0.0099974580
105,0.0099085420
106,0.0100965000
107,0.0099852500
108,0.0100376670
109,0.0100049580
110,0.0098885000
111,0.0102124590
112,0.0097588330
113,0.0101555830
114,0.0100069580
115,0.0099392500
116,0.0100910000
117,0.0098111660
118,0.0100464160
119,0.0100111250
120,0.0098789170
121,0.0100639590
122,0.0100303330
123,0.0102743750
124,0.0100557080
125,0.0098368330
126,0.0103404170
127,0.0098976250
128,0.0101624170
129,0.0100870830
130,0.0098474160
131,0.0100120410
132,0.0100776250
133,0.0102170000
134,0.0101423340
135,0.0097962500
136,0.0099455830
137,0.0097340420
138,0.0101542090
139,0.0100737090
140,0.0102350840
141,0.0107305000
142,0.0123780000
143,0.0237725840
144,0.0105844170
145,0.0101670830
146,0.0103262500
147,0.0101013340
148,0.0098443330
149,0.0102304580
150,0.0102725000
151,0.0102937920
152,0.0101664580
153,0.0099537500
154,0.0102832500
155,0.0099204590
156,0.0101887080
157,0.0111061250
158,0.0102321660
159,0.0102485830
160,0.0101160840
161,0.0101558340
162,0.0102265000
163,0.0097844160
164,0.0101874580
165,0.0103480840
166,0.0098566670
167,0.0102785420
168,0.0098602910
169,0.0101917500
170,0.0102743330
171,0.0098186670
172,0.0100338750
173,0.0096144170
174,0.0102488330
175,0.0102667500
176,0.0099047500
177,0.0100724160
178,0.0097987500
179,0.0099827920
180,0.0097944590
181,0.0099824170
182,0.0102162500
183,0.0098173750
184,0.0099214170
185,0.0102548330
186,0.0100334170
187,0.0100335840
188,0.0096784590
189,0.0098958340
190,0.0101996250
191,0.0099123330
192,0.0100198750
193,0.0098193750
194,0.0101227090
195,0.0102215410
196,0.0097152920
197,0.0100850830
198,0.0097149580
199,0.0101754160
200,0.0101588750
201,0.0100845000
202,0.0101402090
203,0.0099179160
204,0.0099969160
205,0.0101527910
206,0.0098514170
207,0.0101998340
208,0.0097645000
209,0.0100912920
210,0.0101308750
211,0.0099114170
212,0.0100157080
213,0.0097837080
214,0.0099905000
215,0.0100108750
216,0.0098505000
217,0.0100013750
218,0.0097124170
219,0.0099197500
220,0.0103182500
221,0.0097559580
222,0.0100601250
223,0.0096411250
224,0.0099550830
225,0.0099928340
226,0.0099665840
227,0.0101400000
228,0.0097465000
229,0.0100307500
230,0.0099655830
231,0.0096630830
232,0.0102999170
233,0.0097448340
234,0.0102143750
235,0.0103410410
236,0.0098488330
237,0.0101491250
238,0.0099640000
239,0.0100752920
240,0.0101528340
241,0.0101781670
242,0.0100682500
243,0.0101477080
244,0.0099265830
245,0.0102023330
246,0.0098934590
247,0.0100685410
248,0.0101083330
249,0.0099573330
250,0.0102115840
251,0.0099311660
252,0.0101677500
253,0.0101230410
254,0.0099881660
255,0.0101196250
256,0.0131365420
257,0.3117935830
