n,time-seconds
1,0.0013719170
2,0.0004367080
3,0.0004567920
4,0.0004457080
5,0.0002377090
6,0.0002499580
7,0.0002651670
8,0.0002908750
9,0.0003215830
10,0.0003827920
11,0.0003831250
12,0.0004042920
13,0.0004269580
14,0.0004592080
15,0.0004892500
16,0.0005170420
17,0.0005503330
18,0.0005895000
19,0.0006232090
20,0.0006666250
21,0.0007043330
22,0.0007158750
23,0.0008250420
24,0.0008235000
25,0.0008535410
26,0.0009110840
27,0.0009565420
28,0.0009927910
29,0.0010127080
30,0.0010593330
31,0.0011100830
32,0.0011564160
33,0.0012012080
34,0.0012740000
35,0.0013128330
36,0.0013481670
37,0.0014804170
38,0.0015145420
39,0.0015231670
40,0.0015598750
41,0.0015921670
42,0.0016978340
43,0.0017292920
44,0.0017599580
45,0.0018319170
46,0.0018760830
47,0.0020758750
48,0.0020184170
49,0.0020637920
50,0.0020998750
51,0.0022290000
52,0.0022454170
53,0.0023133340
54,0.0026120000
55,0.0025161250
56,0.0026066670
57,0.0027302500
58,0.0027640000
59,0.0028421670
60,0.0030115000
61,0.0031279160
62,0.0031007080
63,0.0031529160
64,0.0032996660
65,0.0033730000
66,0.0037018750
67,0.0035485420
68,0.0036407090
69,0.0037353750
70,0.0042256670
71,0.0045754170
72,0.0045783750
73,0.0046789170
74,0.0050747080
75,0.0049847080
76,0.0050742080
77,0.0053376670
78,0.0053200840
79,0.0053769170
80,0.0056669160
81,0.0056337920
82,0.0058000830
83,0.0060662080
84,0.0060008750
85,0.0061272500
86,0.0064140000
87,0.0064422920
88,0.0067325840
89,0.0067188330
90,0.0067314590
91,0.0069472920
92,0.0070170840
93,0.0071172500
94,0.0072645420
95,0.0081505830
96,0.0076837500
97,0.0079412500
98,0.0075874580
99,0.0075965420
100,0.0077739170
101,0.0076304580
102,0.0078236670
103,0.0078525000
104,0.0080968750
105,0.0081147500
106,0.0083654580
107,0.0083446250
108,0.0085952080
109,0.0087122500
110,0.0089691250
111,0.0089814170
112,0.0094967920
113,0.0104678750
114,0.0106082910
115,0.0106526250
116,0.0109923340
117,0.0111735830
118,0.0112473330
119,0.0108247920
120,0.0109262090
121,0.0109834590
122,0.0109156250
123,0.0109037090
124,0.0111650000
125,0.0113661670
126,0.0114054580
127,0.0116011250
128,0.0119017500
129,0.0119032080
130,0.0121575830
131,0.0123134580
132,0.0125652090
133,0.0126543750
134,0.0129919170
135,0.0131659580
136,0.0132355420
137,0.0133622080
138,0.0135301670
139,0.0137917090
140,0.0140565000
141,0.0140928330
142,0.0144606250
143,0.0145914580
144,0.0147055840
145,0.0150435000
146,0.0157022090
147,0.0154725000
148,0.0155115000
149,0.0157147920
150,0.0160007910
151,0.0160560000
152,0.0163282500
153,0.0165107080
154,0.0168278750
155,0.0169125000
156,0.0170866670
157,0.0172090420
158,0.0175992910
159,0.0176509580
160,0.0179178750
161,0.0179944590
162,0.0182585420
163,0.0186535420
164,0.0188680000
165,0.0189472090
166,0.0191916250
167,0.0193081660
168,0.0198054590
169,0.0198435420
170,0.0200491250
171,0.0202714160
172,0.0206445000
173,0.0206095840
174,0.0209957090
175,0.0211918330
176,0.0214850410
177,0.0217321670
178,0.0218115420
179,0.0221403750
180,0.0223752080
181,0.0224111250
182,0.0228237500
183,0.0230390830
184,0.0232764590
185,0.0234085830
186,0.0238721670
187,0.0239882920
188,0.0255094580
189,0.0245530830
190,0.0247641660
191,0.0248832500
192,0.0254362080
193,0.0256852080
194,0.0258254580
195,0.0261852920
196,0.0265062920
197,0.0269207500
198,0.0267980000
199,0.0270574590
200,0.0272728750
201,0.0276540420
202,0.0281182920
203,0.0285937090
204,0.0287148750
205,0.0285295840
206,0.0289529590
207,0.0292681250
208,0.0297461250
209,0.0296864170
210,0.0299005830
211,0.0305222080
212,0.0305769580
213,0.0309394170
214,0.0311443330
215,0.0314560830
216,0.0316931250
217,0.0321474160
218,0.0322124580
219,0.0324961250
220,0.0327533750
221,0.0330399170
222,0.0338168330
223,0.0337485420
224,0.0341517920
225,0.0345227920
226,0.0347309170
227,0.0352129580
228,0.0350384580
229,0.0356078330
230,0.0360755000
231,0.0372366250
232,0.0365700830
233,0.0371290410
234,0.0372492080
235,0.0374232910
236,0.0380515000
237,0.0381668750
238,0.0383320830
239,0.0385737080
240,0.0390348750
241,0.0538867500
242,0.0397185000
243,0.0404491250
244,0.0403459580
245,0.0406947920
246,0.0410618750
247,0.0426869170
248,0.0446891660
249,0.0418523750
250,0.0432635840
251,0.0429959160
252,0.0426665000
253,0.0428780420
254,0.0439068750
255,0.0441809580
256,0.0445484160
257,0.0445537500
258,0.0448885830
259,0.0449630420
260,0.0453345000
261,0.0460530000
262,0.0466144580
263,0.0464246250
264,0.0468844170
265,0.0467754160
266,0.0485377920
267,0.0481937080
268,0.0488620420
269,0.0481841250
270,0.0486090830
271,0.0491922920
272,0.0499022080
